player_name,team_name
KK Nair,Delhi Capitals
KL Rahul,Delhi Capitals
Kartik Sharma,Chennai Super Kings
Kartik Tyagi,Kolkata Knight Riders
Krish Bhagat,Mumbai Indians
Kuldeep Yadav,Delhi Capitals
Kumar Kushagra,Gujarat Titans
L Ngidi,Delhi Capitals
LG Pretorius,Rajasthan Royals
LH Ferguson,Punjab Kings
LS Livingstone,Sunrisers Hyderabad
M Jansen,Punjab Kings
M Markande,Mumbai Indians
M Pathirana,Kolkata Knight Riders
M Prasidh Krishna,Gujarat Titans
M Shahrukh Khan,Gujarat Titans
M Siddharth,Lucknow Super Giants
M Tiwari,Delhi Capitals
MA Starc,Delhi Capitals
MD Choudhary,Lucknow Super Giants
MD Shanaka,Rajasthan Royals
MJ Henry,Chennai Super Kings
MJ Santner,Mumbai Indians
MJ Suthar,Gujarat Titans
MK Pandey,Kolkata Knight Riders
MP Stoinis,Punjab Kings
MP Yadav,Lucknow Super Giants
MR Marsh,Lucknow Super Giants
MW Short,Chennai Super Kings
Mayank Rawat,Mumbai Indians
Mohammed Shami,Lucknow Super Giants
Mohammed Siraj,Gujarat Titans
Mohsin Khan,Lucknow Super Giants
Mukesh Choudhary,Chennai Super Kings
Mukesh Kumar,Delhi Capitals
N Burger,Rajasthan Royals
N Pooran,Lucknow Super Giants
N Rana,Delhi Capitals
N Sindhu,Gujarat Titans
N Wadhera,Punjab Kings
Naman Dhir,Mumbai Indians
Navdeep Saini,Kolkata Knight Riders
Nithish Kumar Reddy,Sunrisers Hyderabad
Noor Ahmad,Chennai Super Kings
P Dubey,Punjab Kings
P Nissanka,Delhi Capitals
P Simran Singh,Punjab Kings
PD Salt,Royal Challengers Bengaluru
PJ Cummins,Sunrisers Hyderabad
PP Hinge,Sunrisers Hyderabad
PR Veer,Chennai Super Kings
PVD Chameera,Delhi Capitals
Prince Yadav,Lucknow Super Giants
Priyansh Arya,Punjab Kings
Q de Kock,Mumbai Indians
R Minz,Mumbai Indians
R Parag,Rajasthan Royals
R Powell,Kolkata Knight Riders
R Sai Kishore,Gujarat Titans
R Shepherd,Royal Challengers Bengaluru
R Smaran,Sunrisers Hyderabad
R Tewatia,Gujarat Titans
RA Bawa,Mumbai Indians
RA Jadeja,Rajasthan Royals
RD Chahar,Chennai Super Kings
RD Gaikwad,Chennai Super Kings
RD Rickelton,Mumbai Indians
RG Sharma,Mumbai Indians
RK Singh,Kolkata Knight Riders
RM Patidar,Royal Challengers Bengaluru
RR Pant,Lucknow Super Giants
RS Ghosh,Chennai Super Kings
Raghu Sharma,Mumbai Indians
Ramandeep Singh,Kolkata Knight Riders
Rashid Khan,Gujarat Titans
Rasikh Salam,Royal Challengers Bengaluru
Ravi Bishnoi,Rajasthan Royals
Ravi Singh,Rajasthan Royals
S Arora,Sunrisers Hyderabad
S Dube,Chennai Super Kings
SA Yadav,Mumbai Indians
SB Dubey,Rajasthan Royals
SE Rutherford,Mumbai Indians
SH Johnson,Chennai Super Kings
SN Khan,Chennai Super Kings
SN Thakur,Mumbai Indians
SO Hetmyer,Rajasthan Royals
SP Narine,Kolkata Knight Riders
SR Dubey,Kolkata Knight Riders
SS Iyer,Punjab Kings
SS Mishra,Rajasthan Royals
SU Parakh,Delhi Capitals
SV Samson,Chennai Super Kings
Sakib Hussain,Sunrisers Hyderabad
Sameer Rizvi,Delhi Capitals
Sandeep Sharma,Rajasthan Royals
Shahbaz Ahmed,Lucknow Super Giants
Shashank Singh,Punjab Kings
Shivang Kumar,Sunrisers Hyderabad
Shubman Gill,Gujarat Titans
Suryansh Shedge,Punjab Kings
Suyash Sharma,Royal Challengers Bengaluru
T Dahiya,Kolkata Knight Riders
T Natarajan,Delhi Capitals
T Stubbs,Delhi Capitals
T Vijay,Delhi Capitals
TA Boult,Mumbai Indians
TH David,Royal Challengers Bengaluru
TL Seifert,Kolkata Knight Riders
TM Head,Sunrisers Hyderabad
TU Deshpande,Rajasthan Royals
Tilak Varma,Mumbai Indians
Urvil Patel,Chennai Super Kings
V Kohli,Royal Challengers Bengaluru
V Nigam,Delhi Capitals
V Suryavanshi,Rajasthan Royals
VG Arora,Kolkata Knight Riders
VR Iyer,Royal Challengers Bengaluru
Vijaykumar Vyshak,Punjab Kings
Vishnu Vinod,Punjab Kings
WG Jacks,Mumbai Indians
Washington Sundar,Gujarat Titans
XC Bartlett,Punjab Kings
YBK Jaiswal,Rajasthan Royals
YS Chahal,Punjab Kings
Yash Raj Punja,Rajasthan Royals
Yash Thakur,Punjab Kings
